"filename", "language", "JSON", "TypeScript (Luxcium)", "comment", "blank", "total"
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/.VSCodeCounter/2022-01-25_17-08-22/results.json", "JSON", 1, 0, 0, 0, 1
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/nest-cli.json", "JSON", -3, 0, 4, -1, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/package.json", "JSON", -5, 0, 6, -1, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/app.module.ts", "TypeScript (Luxcium)", 0, -1, 1, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/common/cripto.ts", "TypeScript (Luxcium)", 0, -20, 20, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/empresa/empresa.module.ts", "TypeScript (Luxcium)", 0, -3, 3, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/main.ts", "TypeScript (Luxcium)", 0, -1, 1, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/price/price.service.ts", "TypeScript (Luxcium)", 0, -6, 6, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/user/user.controller.ts", "TypeScript (Luxcium)", 0, -3, 3, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/src/user/user.service.ts", "TypeScript (Luxcium)", 0, -3, 3, 0, 0
"/home/jneiva/projetos/Projeto-cotacao/server-cotacao/tsconfig.build.json", "JSON", -1, 0, 2, -1, 0
"Total", "-", -8, -37, 49, -3, 1
